title,budget,revenue,popularity,vote_average,vote_count,genre_names,release_date,overview,poster_path
Shoot 'Em Up,39000000,26820641,17.597,6.444,1719,,2007-07-26,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",/pbHpZfjzF4hKomaSmSZWRWKhO0P.jpg
Crocodile Dundee,5000000,328203506,17.847,6.385,1719,,1986-09-26,"When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",/pduPduL1ub5kok3lPYT15ryC9L6.jpg
The Counselor,25000000,71009334,15.71,5.266,1717,,2013-10-25,A lawyer finds himself in far over his head when he attempts to get involved in drug trafficking.,/aNiLkGnzVb5CorZHKk16w9S4COt.jpg
Elle,9804690,2341534,9.34,6.659,1717,,2016-05-25,"When Michèle, the CEO of a gaming software company, is attacked in her home by an unknown assailant, she refuses to let it alter her precisely ordered life. She manages crises involving family, all the while becoming engaged in a game of cat and mouse with her stalker.",/lpKIazNJncpV3sJ5MyTFS5tfTZk.jpg
West Side Story,6000000,43656822,15.47,7.3,1716,,1961-12-13,"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two romantics, one from each gang, fall in love leading to tragedy.",/nzCMu6D5q60i2bVrIQ0DxlRSgCZ.jpg
The Last: Naruto the Movie,903852,19840000,41.554,7.758,1714,,2014-12-06,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg
Ambulance,40000000,51783040,31.656,6.7,1714,,2022-03-16,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",/kuxjMVuc3VTD7p42TZpJNsSrM1V.jpg
Barbarian,4500000,45352337,29.977,6.916,1711,,2022-09-08,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",/idT5mnqPcJgSkvpDX7pJffBzdVH.jpg
Jaws 2,20000000,187884007,24.336,5.964,1710,,1978-06-16,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,/cN3ijEwsn4kBaRuHfcJpAQJbeWe.jpg
Tango & Cash,55000000,63408614,24.659,6.422,1710,,1989-12-22,"Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.",/7xGDaxBE8NazccpXN6oiwoOe67b.jpg
All About My Mother,8272296,67872296,15.851,7.7,1708,,1999-04-16,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg
"Dude, Where's My Car?",13000000,73180723,13.079,5.547,1707,,2000-12-15,Two stoners wake up after a night of partying and cannot remember where they parked their car.,/tc6sLnnaOZk08YndHd53aPlUast.jpg
A Haunted House,2500000,60141683,33.048,5.871,1706,,2013-01-11,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",/skQt53YE2iyOftXj5afJkHmYxLW.jpg
Dragon Ball Z: Resurrection 'F',5000000,61768190,57.816,6.812,1706,,2015-04-18,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg
Mandy,6000000,1214525,15.291,6.194,1706,,2018-09-13,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.",/m0yf7J7HsKeK6E81SMRcX8vx6mH.jpg
Nanny McPhee and the Big Bang,35000000,93251121,25.575,6.276,1705,,2010-03-26,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",/9cgHfgBXVZmVR63AhwJ82R1kAFS.jpg
A Wrinkle in Time,103000000,132675864,12.026,5.102,1704,,2018-03-08,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",/yAcb58vipewa1BfNit2RjE6boXA.jpg
Where the Wild Things Are,100000000,100140916,20.454,6.47,1703,,2009-10-16,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",/sDFV9VEjwTUWF1s5sjOllsb70jk.jpg
Lockout,20000000,32948113,24.595,5.9,1703,,2012-04-12,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",/i5QfNIcg6hc327IWUerea0EczP4.jpg
What to Expect When You're Expecting,40000000,79700000,20.342,6.018,1702,,2012-05-17,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",/WlaRQOeoUfKntGmNsuZDu3r6h6.jpg
Along Came a Spider,60000000,105178561,31.674,6.332,1702,,2001-04-06,"After the harrowing death of his partner, detective and best-selling author Alex Cross has retreated to the peace of retirement. But when a brilliant criminal kidnaps a senator's young daughter, Alex is lured back into action. Teamed with the Secret Service agent assigned to protect the missing girl, Alex follows a serpentine trail of clues that leads him to a stunning discovery - the kidnapper wants more than just ransom.",/1YtsND7vSNymylnOSzgg3DdVFMB.jpg
"Planes, Trains and Automobiles",15000000,49500000,19.657,7.234,1700,,1987-11-26,"An irritable marketing executive, Neal Page, is heading home to Chicago for Thanksgiving when a number of delays force him to travel with a well meaning but overbearing shower ring curtain salesman, Del Griffith.",/3RSucVsX96Ste8WDJfZP1hbNGqQ.jpg
Ella Enchanted,31000000,27388767,24.654,6.442,1699,,2004-04-09,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",/dH8yHmqUra0gqzMJJKXiyfKkB57.jpg
Terrifier,100000,416322,43.383,6.519,1698,,2018-01-25,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",/6PQqC4SbY910VvyVad6mvsboILU.jpg
Analyze This,80000000,176885658,21.966,6.483,1698,,1999-03-05,"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster.",/eqa4TEgkx63WRhqyD8eTwmL7bUi.jpg
Bedazzled,48000000,90383208,19.359,6.028,1697,,2000-10-19,"Elliot Richards, a socially awkward IT worker, is given seven wishes to get the girl of his dreams when he meets a very seductive Satan. The catch: his soul. Some of his wishes include being a 7 foot basketball star, a wealthy, powerful man, and a sensitive caring guy. But, as could be expected, the Devil puts her own little twist on each of his fantasies.",/9aIg9oKMetjfDUNH1jDJKiw2Qos.jpg
xXx: State of the Union,60000000,71073932,38.361,5.011,1696,,2005-04-27,Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,/MM1r8HQUn6VG0Njr8S6cmXHyvJ.jpg
Regression,20000000,17671101,15.457,5.575,1696,,2015-10-01,"Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery.",/luHpMTmU1ygtEgdOTSSj0i9nd8E.jpg
Bride of Chucky,25000000,50671850,45.827,6.0,1695,,1998-10-16,"After being cut apart by the police, killer doll Chucky is resurrected by Tiffany, an ex-girlfriend of the serial murderer whose soul is inside the toy. Following an argument, Chucky kills Tiffany and transfers her soul into a bride doll. To find the magical amulet that can restore them both to human form, Chucky and Tiffany arrange to be driven to New Jersey by Jesse and Jade, who are unaware that their cargo is alive.",/mAGviFp1ufYM3EaZBSrjPiKPBt6.jpg
The Jackal,60000000,159330280,18.051,6.336,1695,,1997-11-14,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",/wkLF73oenC1n1DDKKU7oyLKVcMa.jpg
Drive Angry,50000000,40909909,21.158,5.475,1694,,2011-02-24,"Milton is a hardened felon who has broken out of Hell, intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with a sexy, tough-as-nails waitress, who's also seeking redemption of her own. Caught in a deadly race against time, Milton has three days to avoid capture, avenge his daughter's death, and save her baby before she's mercilessly sacrificed by the cult.",/g0hQNqLkPZC5wOnNhzUH0KvPda4.jpg
Dante's Peak,116000000,178127760,24.966,6.176,1693,,1997-02-07,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",/chApdYLprUhuAVpeBXn2Ytytyo6.jpg
Monty Python's The Meaning of Life,9000000,14949697,16.931,7.32,1692,,1983-03-31,"Life's questions are 'answered' in a series of outrageous vignettes, beginning with a staid London insurance company which transforms before our eyes into a pirate ship. Then there's the National Health doctors who try to claim a healthy liver from a still-living donor. The world's most voracious glutton brings the art of vomiting to new heights before his spectacular demise.",/9yavZ9WgEZIpWi2EbVW8At9RPdo.jpg
Mirrors,35000000,72436439,21.875,6.251,1691,,2008-08-15,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,/bt5a4ThyLpLTsia2e2ZTLzQjXO0.jpg
Enter the Dragon,10000000,21485066,29.796,7.425,1689,,1973-08-17,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,/fyrh2ULEcmLpGTVLPQqFW45hqr5.jpg
Team America: World Police,32000000,50907422,22.931,6.711,1689,,2004-10-10,"Team America World Police follows an international police force dedicated to maintaining global stability. Learning that dictator Kim Jong il is out to destroy the world, the team recruits Broadway star Gary Johnston to go undercover. With the help of Team America, Gary manages to uncover the plan to destroy the world. Will Team America be able to save it in time? It stars… Samuel L Jackson, Tim Robbins, Sean Penn, Michael Moore, Helen Hunt, Matt Damon, Susan Sarandon, George Clooney, Danny Glover, Ethan Hawke, Alec Baldwin… or does it?",/m1Q2VFe1DVVbjfu1LDZe7tlp9yb.jpg
Magic Mike XXL,14800000,117813057,16.848,6.16,1685,,2015-07-01,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",/ny9qi5SYefhSov0ZycCwFFX5fi3.jpg
The Whole Nine Yards,41300000,106371651,17.699,6.436,1685,,2000-02-18,"After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style.",/r4FvRHW1J9FAOnCYchZ7QanQ04e.jpg
On Her Majesty's Secret Service,6000000,64574493,22.017,6.582,1681,,1969-12-18,"James Bond tracks his archnemesis, Ernst Blofeld, to a mountaintop retreat in the Swiss alps where he is training an army of beautiful, lethal women. Along the way, Bond falls for Italian contessa Tracy Draco, and marries her in order to get closer to Blofeld.",/yVzJLLhBwuWJBR9BYEMurShu2WT.jpg
End of Days,100000000,211989043,17.89,6.043,1681,,1999-11-24,"On 28 December 1999, the citizens of New York City are getting ready for the turn of the millennium. However, Satan decides to crash the party by coming to the city  and searching for his chosen bride — a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist named Jericho Cane.",/pY8FbKKl3VD0jRI1iDFrwN6alLa.jpg
House at the End of the Street,6900000,44287131,21.816,5.792,1681,,2012-09-21,"A mother and daughter move to a new town and find themselves living next door to a house where a young girl murdered her parents. When the daughter befriends the surviving son, she learns the story is far from over.",/bgHeZ5g7YyxKcwWw1tgyAMy0czy.jpg
Hot Shots! Part Deux,25000000,133752825,27.868,6.522,1679,,1993-05-21,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm.",/zh9EGK970GHo10ETclWBOjZVUOK.jpg
The Craft,15000000,24819936,33.854,6.737,1678,,1996-05-03,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",/8bW2RdRkloYtEPhbQZN4wcdmJP4.jpg
Free Willy,20000000,153698625,18.862,6.17,1678,,1993-07-16,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",/9iBgd9gi9ztWiVcYSG6zl8wDFBN.jpg
Batman: The Killing Joke,3500000,3775000,19.782,6.597,1677,,2016-07-24,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",/lrQ3LeNIN0nmviZ692seNBUl1Pq.jpg
The Core,60000000,74208267,23.669,5.771,1677,,2003-03-28,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",/jaG2vih2z4V5fP9pnYSIL65lr8d.jpg
Good Boys,20000000,111037232,18.855,6.844,1675,,2019-08-14,A group of young boys on the cusp of becoming teenagers embark on an epic quest to fix their broken drone before their parents get home.,/tximyCXMEnWIIyOy9STkOduUprG.jpg
Mary Queen of Scots,25000000,37807625,13.526,6.6,1675,,2018-12-07,"In 1561, Mary Stuart, widow of the King of France, returns to Scotland, reclaims her rightful throne and menaces the future of Queen Elizabeth I as ruler of England, because she has a legitimate claim to the English throne. Betrayals, rebellions, conspiracies and their own life choices imperil both Queens. They experience the bitter cost of power, until their tragic fate is finally fulfilled.",/b5RMzLAyq5QW6GtN9sIeAEMLlBI.jpg
District B13,12000000,9584131,19.785,6.778,1674,,2004-11-09,"Set in the ghettos of Paris in 2010, an undercover cop and ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",/u9gOfYelDwmvAmXWC1jgCFIY8RB.jpg
National Lampoon's Van Wilder,6000000,39241323,19.263,6.015,1674,,2002-03-29,"Van Wilder has been attending college for far too many years and is scared to graduate, but Van’s father eventually realizes what is going on. When he stops paying his son's tuition fees, Van must come up with the money if he wants to stay in college, so he and his friends come up with a great fund-raising idea – throwing parties. However, when the college magazine finds out and reporter, Gwen is sent to do a story on Van Wilder, things get a little complicated.",/hl19MAS9hV5QkkUdZuoLleDuNH9.jpg
The Last Boy Scout,29000000,59509925,22.581,6.782,1673,,1991-12-13,"When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.",/nKTqyWwLxkvoEKkSAGWo1GdiTpb.jpg
Napoleon Dynamite,400000,46118097,17.367,6.772,1673,,2004-06-11,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",/g5PAKdu5aolXMnIRFkCo6vXq5Jh.jpg
Garden State,2500000,26781723,17.99,7.088,1672,,2004-07-28,"Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life.",/h3iqYiGS6F3y7GxaS4AT8nFxZ2i.jpg
The Losers,25000000,23580000,27.091,6.284,1670,,2010-04-23,"On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.",/e5oD3fuQpjZ8Po6WNW0VkUJmW52.jpg
The Blue Lagoon,4500000,58853106,22.65,6.155,1670,,1980-07-05,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",/zaoq2K1oPWpF91XZ0aesfUCasqb.jpg
RoboCop 2,35000000,45681173,28.049,6.0,1668,,1990-06-22,"After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God.",/nhqBxhOJXUJeFsyLxTFkctH9H5F.jpg
Flags of Our Fathers,90000000,65900249,18.618,6.837,1667,,2006-10-18,"There were five Marines and one Navy Corpsman photographed raising the U.S. flag on Mt. Suribachi by Joe Rosenthal on February 23, 1945. This is the story of three of the six surviving servicemen - John 'Doc' Bradley, Pvt. Rene Gagnon and Pvt. Ira Hayes - who fought in the battle to take Iwo Jima from the Japanese.",/2nkPrhf4YIyMFelfe4zdOnGRYz5.jpg
The Bad Guys,80000000,250162278,54.776,7.629,1666,,2022-03-17,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",/7qop80YfuO0BwJa1uXk1DXUUEwv.jpg
For Your Eyes Only,28000000,187412802,27.78,6.516,1665,,1981-06-24,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,/z57s6bpnYqokqr5HVNOBQFv5e1j.jpg
Dark Skies,3500000,25174316,23.213,6.297,1665,,2013-02-21,"From the producers of Paranormal Activity, Insidious, and Sinister comes Dark Skies: a supernatural thriller that follows a young family living in the suburbs. As husband and wife Daniel and Lacey Barret witness an escalating series of disturbing events involving their family, their safe and peaceful home quickly unravels. When it becomes clear that the Barret family is being targeted by an unimaginably terrifying and deadly force, Daniel and Lacey take matters in their own hands to solve the mystery of what is after their family.",/euLgEo2kvuLjYxbfOekWF3l82t6.jpg
The Death of Stalin,13000000,24640027,13.714,7.011,1664,,2017-10-20,"When dictator Joseph Stalin dies, his parasitic cronies square off in a frantic power struggle to become the next Soviet leader. As they bumble, brawl and back-stab their way to the top, the question remains — just who is running the government?",/xAKqG5SpsHU7vI6Fh4UYxFrDDZZ.jpg
Ransom,80000000,309492681,13.258,6.651,1664,,1996-11-08,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",/kFShhVUU5LfGmLvo9OJGM8dyDFL.jpg
Spiral: From the Book of Saw,20000000,40618920,199.136,6.028,1659,,2021-05-12,"Working in the shadow of an esteemed police veteran, brash Detective Ezekiel “Zeke” Banks and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past.  Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer’s morbid game.",/qkl6mRoFexK2FGWCbAsvrRxjWaF.jpg
The 13th Warrior,160000000,61698899,24.27,6.657,1657,,1999-08-13,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend.",/ip5FmurIOdOyI1wFY2nXVMze3lC.jpg
Blazing Saddles,2600000,119500000,21.07,7.262,1656,,1974-02-07,"A town—where everyone seems to be named Johnson—stands in the way of the railroad. In order to grab their land, robber baron Hedley Lamarr sends his henchmen to make life in the town unbearable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west.",/nb1MLEOXVFBKTM4J9GLoksqgDBk.jpg
Little Nicky,85000000,58292295,20.729,5.863,1656,,2000-11-10,"After the lord of darkness decides he will not cede his throne to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",/AudA8gnTWSBWXBHSBHnr3HHUXXM.jpg
Vampire Academy,30000000,15391979,24.245,6.344,1656,,2014-02-07,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",/cJZpKgiFfjDZ6L5aOJvbmDhsGqY.jpg
42,40000000,95020213,21.509,7.162,1655,,2013-04-12,"In 1946, Branch Rickey (Harrison Ford), owner of the Brooklyn Dodgers, took a stand against Major League Baseball's infamous colour line when he signed Jackie Robinson (Chadwick Boseman) to the team. The deal put both men in the crosshairs of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and let his talent on the field wins over fans and his teammates – silencing his critics and forever changing the world by changing the game of baseball.",/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg
Sister Act 2: Back in the Habit,38000000,57319029,36.972,6.375,1655,,1993-12-09,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.",/dlkBp5S6Ei5f54031rAhyb4IwML.jpg
What Lies Beneath,100000000,291420351,18.876,6.411,1655,,2000-07-21,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",/2L3Cn0CizbSy2E9KJt1SiOSyb6p.jpg
A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,30000000,41.264,5.783,1655,,1985-11-01,"Jesse Walsh moves with his family into the home of the lone survivor from a series of attacks by dream-stalking monster Freddy Krueger. There, Jesse is bedeviled by nightmares and inexplicably violent impulses. It turns out Freddy is out to possess him in order to continue his reign of terror in the real world.",/53kxYw0G3o55yJ23K7s7KMaOyAM.jpg
65,45000000,55000000,85.473,6.122,1653,,2023-03-02,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",/rzRb63TldOKdKydCvWJM8B6EkPM.jpg
Guy Ritchie's The Covenant,55000000,20000000,188.559,7.814,1651,,2023-04-19,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg
Dinner for Schmucks,69000000,86387857,17.298,5.681,1651,,2010-07-30,"Rising executive Tim Conrad works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",/djwkUFhkM81gIsI9ZZ7I6ajZAKY.jpg
Look Who's Back,3196621,25513752,15.199,6.803,1650,,2015-10-08,"When Adolf Hitler reawakens at the site of his former bunker in present-day Berlin, he is mistaken for a comedian and quickly becomes a media phenomenon.",/1CxZWytSiCzZiZA5k0AiLUFtQNA.jpg
Paycheck,60000000,95427515,12.706,6.192,1650,,2003-12-25,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.",/icoa6KslkhXKnxLreZ6vXnDimpQ.jpg
Pain and Glory,10769016,37359689,12.452,7.423,1650,,2019-03-22,"Salvador Mallo, a filmmaker in the twilight of his career, remembers his life: his mother, his lovers, the actors he worked with. The sixties in a small village in Valencia, the eighties in Madrid, the present, when he feels an immeasurable emptiness, facing his mortality, the incapability of continuing filming, the impossibility of separating creation from his own life. The need of narrating his past can be his salvation.",/cMlueArJXXwZbeLpb4NhC3pxmBk.jpg
Eraser,100000000,242295562,22.745,6.039,1649,,1996-06-21,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.",/1FUV5ZmEkbxvqwQW0az4tFFOSmo.jpg
WarGames,12000000,124600000,21.873,7.07,1647,,1983-06-03,"High School student David Lightman has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions. Together with his girlfriend and a wizardly computer genius, David must race against time to outwit his opponent and prevent a nuclear Armageddon.",/zZ1rN4LoPxKNfAp67Xl300WxVeD.jpg
The Waterboy,23000000,185991646,28.401,6.05,1645,,1998-11-06,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,/miT42qWYC4D0n2mXNzJ9VfhheWW.jpg
